gene_symbol	config_source	status	distinct_patient_count	total_sv_count	n_events_analyzed	in_frame_percent	domain_retention_percent	fisher_p_value	permutation_p_value	min_fdr_adjusted_q_value	fdr_significant	top_composite_score	top_composite_partner_gene	error
ETV6	auto	ok	213	214	90	71.11111111111111	75.55555555555556	5.123255667283157e-06	0.009900990099009901	0.004436739407867214	True	0.4164302289061947	NTRK3	
RET	curated	ok	219	230	194	75.25773195876289	74.22680412371135	9.841232497022219e-05	0.009900990099009901	0.04261253671210621	True	0.40447290221930843	KIF5B	
TMPRSS2	auto	ok	1088	1132	867	29.988465974625143	43.3679354094579	0.4192529902918373	0.08191808191808192	0.1453263970464843	False	0.5148705102679068	ERG	
ERG	auto	ok	863	863	788	30.20304568527919	96.06598984771574	0.8461559038589237	0.46534653465346537	0.1453263970464843	False	0.42936432972435035	TMPRSS2	
EGFR	auto	ok	466	559	55	50.90909090909091	63.63636363636363	0.018932607022504343	0.6336633663366337	0.1453263970464843	False	0.23694660843437113	RAD51	
ALK	auto	ok	321	322	272	83.08823529411765	95.95588235294117	0.001916606889583502	0.009900990099009901	0.1453263970464843	False	0.5133159927648038	EML4	
TP53	auto	ok	258	260	47	8.51063829787234	31.914893617021278	0.8340896199659671	1.0	0.1453263970464843	False	0.2507598784194529	EIF5	
BRAF	curated	ok	247	251	179	84.35754189944134	91.06145251396649	0.013367557978153668	0.04995004995004995	0.1453263970464843	False	0.2681275760859747	KIAA1549	
EML4	auto	ok	224	225	223	87.89237668161435	29.14798206278027	0.9930094893197181	0.693069306930693	0.1453263970464843	False	0.5580481561888104	ALK	
ROS1	auto	ok	204	207	122	59.01639344262295	86.06557377049181	0.07279944195336362	0.009900990099009901	0.1453263970464843	False	0.37794738741877937	CD74	
FGFR3	auto	ok	194	195	152	48.68421052631579	39.473684210526315	0.48717565663169116	0.9900990099009901	0.1453263970464843	False	0.439628256720891	TACC3	
FGFR2	auto	ok	188	195	136	79.41176470588235	86.02941176470588	0.005225131765625026	0.009900990099009901	0.1453263970464843	False	0.3665007429631291	BICC1	
RB1	auto	ok	147	147	19	0.0	47.36842105263158			0.1453263970464843	False	0.368421052631579	PHF11	
TACC3	auto	ok	138	139	132	50.0	26.515151515151516	0.8817214485032011	1.0	0.1453263970464843	False	0.4765546383630556	FGFR3	
