event_id	sample_id	patient_id	fusion_name	partner_gene	frame_status	target_role	breakpoint_genomic	breakpoint_exon	breakpoint_protein_position	is_intronic_breakpoint	domain_status	domain_retained_fraction	domain_is_truncated	retained_domains	lost_domains	disrupted_domains	source_annotation_text	source_site2_effect_on_frame
EVT-P-0021826-T01-IM6-1	P-0021826-T01-IM6		ANKRD11-FGFR2	ANKRD11	unknown	five_prime	123243799	17	732	True	disrupted	0.9097472924187726	True			Protein tyrosine and serine/threonine kinase	FGFR2 (NM_000141) - ANKRD11 (NM_013275) rearrangement: t(10,16)(q26.13,q24.3)(chr10:g.123243799::chr16:g.89538175) | Transcript Fusion {FGFR2:ANKRD11}	NA
EVT-P-0013241-T01-IM5-2	P-0013241-T01-IM5		ATP6V1D-FGFR2	ATP6V1D	in-frame	five_prime	123242048	17	767	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			FGFR2 (NM_000141) - ATP6V1D (NM_015994) rearrangement: t(10;14)(q26.13;q23.2)(chr10:g.123242048::chr14:g.67818116) | Protein fusion: in frame (FGFR2-ATP6V1D)	NA
EVT-P-0009512-T01-IM5-3	P-0009512-T01-IM5		BICC1-FGFR2	BICC1	in-frame	five_prime	123240449	18	768	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			Note: The FGFR2 (NM_000141) - BICC1 (NM_001080512) reciprocal rearrangement event is an inversion which results in the fusion of FGFR2 exons 1-17  with  BICC1 exons 3-21 . The fusion is predicted to be in frame and includes the kinase domain of FGFR2. | Protein fusion: in frame (FGFR2-BICC1)	NA
EVT-P-0002675-T01-IM3-4	P-0002675-T01-IM3		BICC1-FGFR2	BICC1	in-frame	five_prime	123241096	18	768	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			NA | Protein fusion: in frame (FGFR2-BICC1)	NA
EVT-P-0029067-T01-IM6-5	P-0029067-T01-IM6		BICC1-FGFR2	BICC1	in-frame	five_prime	123240197	18	768	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			FGFR2 (NM_000141) - BICC1 (NM_001080512) fusion (FGFR2 exons 1-17 fused with BICC1 exons 3-21) : c.2302-67:FGFR2_c.238-6757:BICC1inv | Protein Fusion: in frame  {FGFR2:BICC1}	NA
EVT-P-0003177-T01-IM5-6	P-0003177-T01-IM5		BICC1-FGFR2	BICC1	in-frame	five_prime	123242188	17	767	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			NA | Protein fusion: in frame (FGFR2-BICC1)	NA
EVT-P-0025807-T01-IM6-7	P-0025807-T01-IM6		BICC1-FGFR2	BICC1	in-frame	five_prime	123242181	17	767	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			FGFR2 (NM_000141) - BICC1 (NM_001080512) fusion ( FGFR2 exons 1-17 fused to BICC1 exons 3-21): c.2301+895:FGFR2_c.238-35107:BICC1inv | Protein Fusion: in frame  {FGFR2:BICC1}	NA
EVT-P-0025250-T01-IM6-8	P-0025250-T01-IM6		BICC1-FGFR2	BICC1	in-frame	three_prime	123240491	18	768	True	lost	0.0	False		Protein tyrosine and serine/threonine kinase		FGFR2 (NM_000141) - BICC1 (NM_001080512) fusion (FGFR2 exons 1-17 fused to BICC1 exons 16-21): c.2302-956:FGFR2_c.2182-297:BICC1inv | Protein Fusion: in frame  {BICC1:FGFR2}	NA
EVT-P-0032033-T01-IM6-9	P-0032033-T01-IM6		BICC1-FGFR2	BICC1	in-frame	five_prime	123241685	17	767	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			FGFR2 (NM_000141) - BICC1 (NM_001080512) Fusion (FGFR2 exon 18 fused with BICC1 exon3) : c.2301+1527:FGFR2_c.237+38877:BICC1inv | Protein Fusion: in frame  {FGFR2:BICC1}	NA
EVT-P-0005538-T01-IM5-10	P-0005538-T01-IM5		BICC1-FGFR2	BICC1	in-frame	five_prime	123242753	17	767	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			FGFR2 (NM_000141) - BICC1 (NM_001080512) reciprocal fusion (FGFR2 exons 1-17 with BICC1 exons 16-21): c.2301+459:FGFR2_c.2182-276:BICC1inv | Protein fusion: in frame (FGFR2-BICC1)	NA
EVT-P-0020186-T01-IM6-11	P-0020186-T01-IM6		BICC1-FGFR2	BICC1	in-frame	five_prime	123241148	18	768	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			FGFR2 (NM_000141) - BICC1 (NM_001080512) fusion (FGFR2 exon17 fused with BICC1 exon3 ): c.2302-1613:FGFR2_c.237+32254:BICC1inv | Protein Fusion: in frame  {FGFR2:BICC1}	NA
EVT-P-0020025-T01-IM6-12	P-0020025-T01-IM6		BICC1-FGFR2	BICC1	in-frame	five_prime	123241984	17	767	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			FGFR2 (NM_000141) - BICC1 (NM_001080512) fusion (FGFR2 exons 1-17 with BICC1 exons 3-21) : c.2301+1228:FGFR2_c.238-4773:BICC1inv | Protein Fusion: in frame  {FGFR2:BICC1}	NA
EVT-P-0018115-T01-IM6-13	P-0018115-T01-IM6		BICC1-FGFR2	BICC1	in-frame	five_prime	123241970	17	767	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			FGFR2 (NM_000141) - BICC1 (NM_001080512) fusion (FGFR2 exons 1-17 fused in-frame with BICC1 exons 3-21):   c.2301+1242:FGFR2_c.237+34947:BICC1dup | Protein Fusion: in frame  {FGFR2:BICC1}	NA
EVT-P-0015942-T01-IM6-14	P-0015942-T01-IM6		BICC1-FGFR2	BICC1	in-frame	five_prime	123241020	18	768	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			FGFR2 (NM_000141) - BICC1 (NM_001080512) Fusion (FGFR2 exons 1-17 with BICC1 exons 9-21) : c.2302-1485:FGFR2_c.1048-60:BICC1inv | Protein Fusion: in frame  {FGFR2:BICC1}	NA
EVT-P-0008146-T01-IM5-15	P-0008146-T01-IM5		BICC1-FGFR2	BICC1	in-frame	five_prime	123240154	18	768	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			FGFR2 (NM_000141) - BICC1 (NM_001080512) fusion (FGFR2 exons 1-17 fused with BICC1 exons 16-21) : c.2302-619:FGFR2_c.2182-744:BICC1inv | Protein fusion: in frame (FGFR2-BICC1)	NA
EVT-P-0037617-T01-IM6-16	P-0037617-T01-IM6		BICC1-FGFR2	BICC1	in-frame	three_prime	123241302	18	768	True	lost	0.0	False		Protein tyrosine and serine/threonine kinase		BICC1 (NM_001080512) - FGFR2 (NM_000141) rearrangement: c.238-34060:BICC1_c.2302-1767:FGFR2inv | Protein Fusion: in frame  {BICC1:FGFR2}	NA
EVT-P-0015432-T01-IM6-17	P-0015432-T01-IM6		CAT-FGFR2	CAT	in-frame	five_prime	123242534	17	767	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			FGFR2 (NM_000141) - CAT (NM_001752) rearrangement: t(10;11)(q26.13;p13)(chr10:g.123242534::chr11:g.34467980) | Protein fusion: in frame (FGFR2-CAT)	NA
EVT-P-0027305-T01-IM6-18	P-0027305-T01-IM6		CCDC6-FGFR2	CCDC6	in-frame	five_prime	123241542	17	767	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			FGFR2 (NM_000141) - CCDC6 (NM_005436) fusion (FGFR2 exons 1-17 fused to CCDC6 exons 4-9): c.2301+1670:FGFR2_c.582+6426:CCDC6del | Protein Fusion: in frame  {FGFR2:CCDC6}	NA
EVT-P-0027741-T01-IM6-19	P-0027741-T01-IM6		CEACAM7-FGFR2	CEACAM7	unknown	five_prime	123241990	17	767	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			FGFR2 (NM_000141) rearrangement: t(10;19)(q26.13;q13.2)(chr10:g.123241990::chr19:g.42175729) | Transcript Fusion {FGFR2:CEACAM7}	NA
EVT-P-0003724-T01-IM5-20	P-0003724-T01-IM5		CEP112-FGFR2	CEP112	in-frame	three_prime	123241923	17	767	True	lost	0.0	False		Protein tyrosine and serine/threonine kinase		t(17;10)(q24.1;q26.13)(chr17:g.64023428::chr10:g.123241923) | Protein fusion: in frame (CCDC46-FGFR2)	NA
EVT-P-0019723-T01-IM6-22	P-0019723-T01-IM6		CTNNA3-FGFR2	CTNNA3	in-frame	five_prime	123243018	17	767	True	retained	1.0	False	Protein tyrosine and serine/threonine kinase			FGFR2 (NM_000141) - CTNNA3 (NM_013266) rearrangement: c.2301+194:FGFR2_c.1885-25982:CTNNA3del | Protein Fusion: in frame  {FGFR2:CTNNA3}	NA
EVT-P-0011516-T01-IM5-23	P-0011516-T01-IM5		CTNNA3-FGFR2	CTNNA3	in-frame	three_prime	123241940	17	767	True	lost	0.0	False		Protein tyrosine and serine/threonine kinase		CTNNA3 (NM_013266) -FGFR2 (NM_000141) Rearrangement : c.1048-8479:CTNNA3_c.2301+1272:FGFR2dup | Protein fusion: in frame (CTNNA3-FGFR2)	NA
